gastLabel,episodeLabel,date
Uwe Hong,Markus Lanz 03.09.2008,2008-09-03T00:00:00Z
Jürgen Charchulla,Markus Lanz 04.09.2008,2008-09-04T00:00:00Z
Paul Potts,Markus Lanz 04.09.2008,2008-09-04T00:00:00Z
Tim Mälzer,Markus Lanz 04.09.2008,2008-09-04T00:00:00Z
Arnes Petrick,Markus Lanz 16.06.2009,2009-06-16T00:00:00Z
Bernhard Stitz,Markus Lanz 16.06.2009,2009-06-16T00:00:00Z
Julia Rehberg,Markus Lanz 16.06.2009,2009-06-16T00:00:00Z
Thomas Peh,Markus Lanz 16.06.2009,2009-06-16T00:00:00Z
Waltraud Zöllner,Markus Lanz 16.06.2009,2009-06-16T00:00:00Z
Antonia Krüger,Markus Lanz 17.06.2009,2009-06-17T00:00:00Z
Arnulf Pekrun,Markus Lanz 17.06.2009,2009-06-17T00:00:00Z
Claudia Rutt,Markus Lanz 17.06.2009,2009-06-17T00:00:00Z
Dennis Tams,Markus Lanz 17.06.2009,2009-06-17T00:00:00Z
Dirk Waasen,Markus Lanz 17.06.2009,2009-06-17T00:00:00Z
Fehmke Krüger,Markus Lanz 17.06.2009,2009-06-17T00:00:00Z
Magdalena Steinkemper,Markus Lanz 17.06.2009,2009-06-17T00:00:00Z
Miriam Bachmann,Markus Lanz 17.06.2009,2009-06-17T00:00:00Z
Nele Krüger,Markus Lanz 17.06.2009,2009-06-17T00:00:00Z
Sabine Krüger,Markus Lanz 17.06.2009,2009-06-17T00:00:00Z
Udo Vetter,Markus Lanz 17.06.2009,2009-06-17T00:00:00Z
Verona Pooth,Markus Lanz 17.06.2009,2009-06-17T00:00:00Z
Christoph Zimmermann,Markus Lanz 18.06.2009,2009-06-18T00:00:00Z
Hans Joachim Bubert,Markus Lanz 18.06.2009,2009-06-18T00:00:00Z
Klaus Sattler,Markus Lanz 18.06.2009,2009-06-18T00:00:00Z
Martin Sonneborn,Markus Lanz 18.06.2009,2009-06-18T00:00:00Z
Oliver Welke,Markus Lanz 18.06.2009,2009-06-18T00:00:00Z
Petra Bubert,Markus Lanz 18.06.2009,2009-06-18T00:00:00Z
Silke Schwartau,Markus Lanz 18.06.2009,2009-06-18T00:00:00Z
Steffen Henssler,Markus Lanz 18.06.2009,2009-06-18T00:00:00Z
Adelheid Gottwald,Markus Lanz 23.06.2009,2009-06-23T00:00:00Z
Amir Hallouane,Markus Lanz 23.06.2009,2009-06-23T00:00:00Z
Andre Stern,Markus Lanz 23.06.2009,2009-06-23T00:00:00Z
Angelika Hallouane,Markus Lanz 23.06.2009,2009-06-23T00:00:00Z
Christine Czermak,Markus Lanz 23.06.2009,2009-06-23T00:00:00Z
Jan Uwe Rogge,Markus Lanz 23.06.2009,2009-06-23T00:00:00Z
Jörg Knör,Markus Lanz 23.06.2009,2009-06-23T00:00:00Z
Katja Saalfrank,Markus Lanz 23.06.2009,2009-06-23T00:00:00Z
Kay Vorwerk,Markus Lanz 23.06.2009,2009-06-23T00:00:00Z
Martin Schneider,Markus Lanz 23.06.2009,2009-06-23T00:00:00Z
Nicole Geiger,Markus Lanz 23.06.2009,2009-06-23T00:00:00Z
Uschi Glas,Markus Lanz 23.06.2009,2009-06-23T00:00:00Z
