Sendungstitel,FolgenNr,Staffel,Folge,Datum,Dauer,Sendezeit,Gästesubstr,Gast_1,Beschreibung_1,Gast_2,Beschreibung_2,Gast_3,Beschreibung_3,Gast_4,Beschreibung_4,Gast_5,Beschreibung_5,Gast_6,Beschreibung_6,Gast_7,Beschreibung_7,Gast_8,Beschreibung_8,Gast_9,Beschreibung_9,Gast_10,Beschreibung_10,Gast_11,Beschreibung_11,Gast_12,Beschreibung_12,Gast_13,Beschreibung_13,Gast_14,Beschreibung_14,Gast_15,Beschreibung_15,Gast_16,Beschreibung_16,Gast_17,Beschreibung_17,Gast_18,Beschreibung_18,Gast_19,Beschreibung_19,Gast_20,Beschreibung_20,Gast_21,Beschreibung_21
 Markus Lanz 13.01.2010,,,,13.01.2010,067'47,23:32:12 - 00:39:59," 23:32:12 - 00:39:59 067'47 Interview Markus LANZ mit den Studiogästen Wolfgang BOSBACH (Vorsitzender des Bundestags-Innenausschusses, CDU), Werner GRUBER (Physiker, Kabarettist), Josef SCHEURING (Vorsitzender der Gewerkschaft der Bundespolizei), Inge NIEDEK (Meteorologin), Christian HÄCKL (Meteorologe), Bernhard SCHERZ (Augenzeuge Lawine), Frauke BRUNNER (Überlebende einer Lawine) und Andreas BAUMANN (Hundestaffelführer der Bergwacht Chiemgau)",Wolfgang BOSBACH,"Vorsitzender des Bundestags-Innenausschusses, CDU",Werner GRUBER,"Physiker, Kabarettist",Josef SCHEURING,Vorsitzender der Gewerkschaft der Bundespolizei,Inge NIEDEK,Meteorologin,Christian HÄCKL,Meteorologe,Bernhard SCHERZ,Augenzeuge Lawine,Frauke BRUNNER,Überlebende einer Lawine,Andreas BAUMANN,Hundestaffelführer der Bergwacht Chiemgau,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 14.01.2010,,,,14.01.2010,068'16,23:20:30 - 00:28:46," 23:20:30 - 00:28:46 068'16 Interview Markus LANZ mit den Studiogästen Matthias SCHWEIGHÖFER (Schauspieler), Gitta SCHWEIGHÖFER (Mutter von Matthias Schweighöfer, Schauspielerin), Christian FÄTH (",Matthias SCHWEIGHÖFER,Schauspieler,Gitta SCHWEIGHÖFER,"Mutter von Matthias Schweighöfer, Schauspielerin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 20.01.2010,,,,20.01.2010,067'45,23:18:50 - 00:26:35," 23:18:50 - 00:26:35 067'45 Interview Markus LANZ mit den Studiogästen Georg KAMP (Vorsitzender des Vorstandes vom Deutschen Roten Kreuz, Landesverband Hamburg), Hinrich LÜHRSSEN (Fernsehjournalist), Rainer HUNOLD (Schauspieler), Bastian SICK (Autor), Christian ESSER (ZDF-Redakteur), Astrid RANDERRATH (ZDF-Redakteurin) und Ralf PASEWALD (ehem. Lokführer der Deutschen Bahn AG)",Georg KAMP,"Vorsitzender des Vorstandes vom Deutschen Roten Kreuz, Landesverband Hamburg",Hinrich LÜHRSSEN,Fernsehjournalist,Rainer HUNOLD,Schauspieler,Bastian SICK,Autor,Christian ESSER,ZDF-Redakteur,Astrid RANDERRATH,ZDF-Redakteurin,Ralf PASEWALD,ehem. Lokführer der Deutschen Bahn AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 21.01.2010,,,,21.01.2010,065'58,23:24:35 - 00:30:33," 23:24:35 - 00:30:33 065'58 Interview Markus LANZ mit den Studiogästen Mike KRÜGER (Comedian), Rita POHLE (Aufräumexpertin), Rudolf CLÖVERS (Justizopfer), Elke CLÖVERS (Justizopfer), Sabrina CLÖVERS (Tochter), Ralph BLINDAUER (Anwalt von Rudolf Clövers), Alexander BERNHAUT (Psychiater) und Hugo Egon BALDER (Moderator)",Mike KRÜGER,Comedian,Rita POHLE,Aufräumexpertin,Rudolf CLÖVERS,Justizopfer,Elke CLÖVERS,Justizopfer,Sabrina CLÖVERS,Tochter,Ralph BLINDAUER,Anwalt von Rudolf Clövers,Alexander BERNHAUT,Psychiater,Hugo Egon BALDER,Moderator,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 27.01.2010,,,,27.01.2010,066'53,23:19:31 - 00:26:24," 23:19:31 - 00:26:24 066'53 Interview Markus LANZ mit den Studiogästen Wayne CARPENDALE (Schauspieler), Hans SIGL (Schauspieler), Ilona GRÜBEL (Schauspielerin), Holger STROMBERG (Koch der Deutschen Fußballnationalmannschaft), Steffen HENSSLER (Fernsehkoch), Thomas SCHREINER (Moderator), Christian TREDER (Rettungsschwimmer der Wasserwacht Lübeck) und Manuela KONZACK (brach in Eis ein), ",Wayne CARPENDALE,Schauspieler,Hans SIGL,Schauspieler,Ilona GRÜBEL,Schauspielerin,Holger STROMBERG,Koch der Deutschen Fußballnationalmannschaft,Steffen HENSSLER,Fernsehkoch,Thomas SCHREINER,Moderator,Christian TREDER,Rettungsschwimmer der Wasserwacht Lübeck,Manuela KONZACK,brach in Eis ein,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 28.01.2010,,,,28.01.2010,067'10,23:23:09 - 00:30:19," 23:23:09 - 00:30:19 067'10 Interview Markus LANZ mit den Studiogästen Peter MAFFAY (Musiker), Wim HOF (Berufsabenteurer), Angela KREUZBERG (bekam Hilfe bei Markus Lanz), Manuel Kai KREUZBERG (Sohn), Koral ALTINER (lebt ohne Heizung), Eckard PAHLKE (Rechtsanwalt) und Bert JENNER (Energiespar-Experte)",Peter MAFFAY,Musiker,Wim HOF,Berufsabenteurer,Angela KREUZBERG,bekam Hilfe bei Markus Lanz,Manuel Kai KREUZBERG,Sohn,Koral ALTINER,lebt ohne Heizung,Eckard PAHLKE,Rechtsanwalt,Bert JENNER,Energiespar-Experte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 03.02.2010,,,,03.02.2010,066'41,23:16:48 - 00:23:29," 23:16:48 - 00:23:29 066'41 Interview Markus LANZ mit den Studiogästen Hans EICHEL (ehem. Finanzminister), Klaus KOCKS (PR-Berater), Hans Joachim JASCHKE (Weihbischof), Dave DAVIS (Comedian), Fatih CEVIKKOLLU (Comedian), Lisa FITZ (Comedian) und Hans Werner OLM (Comedian)",Hans EICHEL,ehem. Finanzminister,Klaus KOCKS,PR-Berater,Hans Joachim JASCHKE,Weihbischof,Dave DAVIS,Comedian,Fatih CEVIKKOLLU,Comedian,Lisa FITZ,Comedian,Hans Werner OLM,Comedian,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 04.02.2010,,,,04.02.2010,067'58,23:18:27 - 00:26:25," 23:18:27 - 00:26:25 067'58 Interview Markus LANZ mit den Studiogästen Michael OTTO (Unternehmer), Rigo BUROW (Justizopfer), Eva BURWO (Mutter), Yunus KESKIN (Justizopfer), Ulrike ZECHER (Anwältin), Christina CLEMM (Anwältin), Thomas BODE (Hartz IV-Empfänger), Petra ERBES (Taxifahrerin), Heiner GEISSLER (ehem. Generalsekretär CDU) und Heinz BUSCHKOWSKY (Bgm Berlin-Neukölln)",Michael OTTO,Unternehmer,Rigo BUROW,Justizopfer,Eva BURWO,Mutter,Yunus KESKIN,Justizopfer,Ulrike ZECHER,Anwältin,Christina CLEMM,Anwältin,Thomas BODE,Hartz IV-Empfänger,Petra ERBES,Taxifahrerin,Heiner GEISSLER,ehem. Generalsekretär CDU,Heinz BUSCHKOWSKY,Bgm Berlin-Neukölln,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 10.02.2010,,,,10.02.2010,066'41,23:41:23 - 00:48:04," 23:41:23 - 00:48:04 066'41 Interview Markus LANZ mit den Studiogästen Tim MÄLZER (Fernsehkoch), Kristiane MÜLLER-URBAN (Autorin) und Johann KÖNIG (Kabarettist)",Tim MÄLZER,Fernsehkoch,Kristiane MÜLLER-URBAN,Autorin,Johann KÖNIG,Kabarettist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 17.02.2010,,,,17.02.2010,067'08,23:14:37 - 00:21:45," 23:14:37 - 00:21:45 067'08 Interview Markus LANZ mit den Studiogästen Senta BERGER (Schauspielerin), Dr. Karella EASWARAN (Allgemeinmediziner), Dr. Jo BAUSCH (Allgemeinmediziner), Dr. Thomas KURSCHEID (Ernährungsmediziner), Andrea BALLSCHUH (Moderatorin), Lina RHAN (Autorin, ehem. Drogenabhängige) mit ihrer Mutter Ulla RHAN (Autorin) und Andrea RODIECK (Suchtpräventionszentrum Hamburg)",Senta BERGER,Schauspielerin,Karella EASWARAN,Allgemeinmediziner,Jo BAUSCH,Allgemeinmediziner,Thomas KURSCHEID,Ernährungsmediziner,Andrea BALLSCHUH,Moderatorin,Lina RHAN,"Autorin, ehem. Drogenabhängige",Mutter Ulla RHAN,Autorin,Andrea RODIECK,Suchtpräventionszentrum Hamburg,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 02.03.2010,,,,02.03.2010,076'35,22:47:33 - 00:04:08," 22:47:33 - 00:04:08 076'35 Interview Markus LANZ mit den Studiogästen Eva Luise KÖHLER (Ehefrau von BPr Horst Köhler), Dr. Karin JURKAT-ROTT (Ärztin), Katrin OTT (leidet an Hypokaliämischer peridodischer Paralyse, HypoPP), Hans Olaf HENKEL (Manager), Rudolf DRESSLER (ehem. Staatssekr. des Bundesminister für Arbeit und Sozialordnung), Dr. Ulrich SCHNEIDER (HauptgeschF. des Paritätischen Gesamtverbandes), Arnold SCHNITTGER (Hartz IV-Empfänger), Anke WELLER (Erwerbstätige) und Larry HAGMAN (Schauspieler), ",Eva Luise KÖHLER,Ehefrau von BPr Horst Köhler,Karin JURKAT-ROTT,Ärztin,Katrin OTT,"leidet an Hypokaliämischer peridodischer Paralyse, HypoPP",Hans Olaf HENKEL,Manager,Rudolf DRESSLER,ehem. Staatssekr. des Bundesminister für Arbeit und Sozialordnung,Ulrich SCHNEIDER,HauptgeschF. des Paritätischen Gesamtverbandes,Arnold SCHNITTGER,Hartz IV-Empfänger,Anke WELLER,Erwerbstätige,Larry HAGMAN,Schauspieler,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 04.03.2010,,,,04.03.2010,067'15,23:25:43 - 00:32:58," 23:25:43 - 00:32:58 067'15 Interview Markus LANZ mit den Studiogästen Olympiasiegerinnen im Eisschnelllauf Anni FRIESINGER-POSTMA, Stephanie BECKERT, Daniela ANSCHÜTZ-THOMS und Katrin MATTSCHERODT, Wolfgang BOSBACH (CDU-Abgeordnete und Vorsitzender vom Innenausschuss), Michael OPOCZYNSKI (ZDF-Fernsehjournalist ""WISO"", Peter SCHAAR (Bundesdatenschutzbeauftragter), Herr Padeluun (Netzaktivist), Gisela MAYER (Mutter von Opfer von Winnenden), Carolin SCHNEIDER (Schülerin Albertville Realschule Winnenden) und Britta BANNENBERG (Amoklaufforscherin)",Eisschnelllauf Anni FRIESINGER-POSTMA,CDU-Abgeordnete und Vorsitzender vom Innenausschuss,Stephanie BECKERT,CDU-Abgeordnete und Vorsitzender vom Innenausschuss,Daniela ANSCHÜTZ-THOMS,CDU-Abgeordnete und Vorsitzender vom Innenausschuss,Katrin MATTSCHERODT,CDU-Abgeordnete und Vorsitzender vom Innenausschuss,Wolfgang BOSBACH,CDU-Abgeordnete und Vorsitzender vom Innenausschuss,Michael OPOCZYNSKI,Bundesdatenschutzbeauftragter,Peter SCHAAR,Bundesdatenschutzbeauftragter,Herr P,Netzaktivist,Gisela MAYER,Mutter von Opfer von Winnenden,Carolin SCHNEIDER,Schülerin Albertville Realschule Winnenden,Britta BANNENBERG,Amoklaufforscherin,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 09.03.2010,,,,09.03.2010,076'30,22:59:55 - 00:16:25," 22:59:55 - 00:16:25 076'30 Interview Markus LANZ (Moderator) mit den Studiogästen Prof. Gerald HÜTHER (Hirnforscher), 9-jähriger Adrian Marc (leidet an ADS) und seine Mutter Carola KINGSTON, Dr. Kirsten STOLLHOFF (Kinderärztin), Prof. Gerd GLAESKE, Dirk STEFFENS (Moderator ""Faszination Erde""), die ehem. Hartz IV-Empfänger Kurt MEIER und Uwe GLINKA (beide Autoren von Kochbuch), Steffen HENSSLER (Fernsehkoch), Michael SCHNEIDER (Direktor Schweriner Zoo), Christina SCHNEIDER (Ehefrau) und Affenbaby Walli",Gerald HÜTHER,Hirnforscher,Adrian M,leidet an ADS,Mutter Carola KINGSTON,Kinderärztin,Kirsten STOLLHOFF,Kinderärztin,Gerd GLAESKE,"Moderator ""Faszination Erde""",Dirk STEFFENS,"Moderator ""Faszination Erde""",Hartz IV-E,beide Autoren von Kochbuch,Kurt MEIER,beide Autoren von Kochbuch,Uwe GLINKA,beide Autoren von Kochbuch,Steffen HENSSLER,Fernsehkoch,Michael SCHNEIDER,Direktor Schweriner Zoo,Christina SCHNEIDER,Ehefrau,,,,,,,,,,,,,,,,,,
 Markus Lanz 10.03.2010,,,,10.03.2010,065'36,23:17:58 - 00:23:34," 23:17:58 - 00:23:34 065'36 Interview Markus LANZ mit den Studiogästen Alida GUNDLACH (Moderatorin), Anouschka RENZI (Schauspielerin), Grit BOETTCHER (Schauspielerin), Werner MANG (Schönheitschirurg) und Manfred VON HOVE Mißbrauchsopfer)",Alida GUNDLACH,Moderatorin,Anouschka RENZI,Schauspielerin,Grit BOETTCHER,Schauspielerin,Werner MANG,Schönheitschirurg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 11.03.2010,,,,11.03.2010,065'11,23:22:13 - 00:27:24," 23:22:13 - 00:27:24 065'11 Interview Markus LANZ mit den Studiogästen Alfons SCHUHBECK (Starkoch), Kilian SAUM (Benediktinermönch, Heilpraktiker), Celine DENEFLEH (Herzkranke), Joachim MOHR (Journalist), Hugo KATUS (Kardiologe), Thomas HERMANNS (Moderator, Comedian) und Sonja MEISE (Stewardess)",Alfons SCHUHBECK,Starkoch,Kilian SAUM,"Benediktinermönch, Heilpraktiker",Celine DENEFLEH,Herzkranke,Joachim MOHR,Journalist,Hugo KATUS,Kardiologe,Thomas HERMANNS,"Moderator, Comedian",Sonja MEISE,Stewardess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 16.03.2010,,,,16.03.2010,075'19,23:07:13 - 00:22:32," 23:07:13 - 00:22:32 075'19 Interview Markus LANZ mit den Studiogästen Florian SCHROEDER (Kabarettist), Hajo SCHUMACHER (Journalist und Moderator), Kai EBEL (Formel-1-Reporter), Michael PRANG (Arzt, Medizinjournalist und Autor), Barbara BECKER (Schauspielerin und UNICEF-Botschafterin)",Florian SCHROEDER,Kabarettist,Hajo SCHUMACHER,Journalist und Moderator,Kai EBEL,Formel-1-Reporter,Michael PRANG,"Arzt, Medizinjournalist und Autor",Barbara BECKER,Schauspielerin und UNICEF-Botschafterin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 17.03.2010,,,,17.03.2010,066'40,23:16:53 - 00:23:33," 23:16:53 - 00:23:33 066'40 Interview Markus LANZ mit den Studiogästen Manfred STOLPE (leidet an Krebs), Ingrid STOLPE (leidet an Krebs), Mirja BOES (Comedian), Wigald BONING (Comedian), Kai OPPEL (Reiseknigge-Experte), Rolf BUSCHMANN (Verbraucherzentrale NRW)",Manfred STOLPE,leidet an Krebs,Ingrid STOLPE,leidet an Krebs,Mirja BOES,Comedian,Wigald BONING,Comedian,Kai OPPEL,Reiseknigge-Experte,Rolf BUSCHMANN,Verbraucherzentrale NRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 18.03.2010,,,,18.03.2010,065'47,23:22:30 - 00:28:17," 23:22:30 - 00:28:17 065'47 Interview Markus LANZ mit den Studiogästen Jörg DENFELD (Experte für Pedelecs Elektrofahrräder), Stefan GULAS (Erfinder von dem schnellsten Fahrrad der Welt), Mario BARTH (Komiker) und David SAFIER (Bestseller-Autor)",Jörg DENFELD,Experte für Pedelecs Elektrofahrräder,Stefan GULAS,Erfinder von dem schnellsten Fahrrad der Welt,Mario BARTH,Komiker,David SAFIER,Bestseller-Autor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 23.03.2010,,,,23.03.2010,076'08,23:04:26 - 00:20:34," 23:04:26 - 00:20:34 076'08 Interview Markus LANZ mit den Studiogästen Bela PARADI (Lehmann Brother-Geschädigte), Dirk MÜLLER (Börsenmakler), Antonio SOMMESE (Exbankberater), Alexandra KUSITZKY (Journalistin), Herbert JÜTTEN (GeschF. des Bundesverbandes Deutscher Banken), Elfriede VAVRIK (Autorin), Ingrid VAN BERGEN (Schauspielerin) und Kirsten VON SYDOW (Psychologin und Psychiaterin)",Bela PARADI,Lehmann Brother-Geschädigte,Dirk MÜLLER,Börsenmakler,Antonio SOMMESE,Exbankberater,Alexandra KUSITZKY,Journalistin,Herbert JÜTTEN,GeschF. des Bundesverbandes Deutscher Banken,Elfriede VAVRIK,Autorin,Ingrid VAN,Schauspielerin,Kirsten VON,Psychologin und Psychiaterin,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 24.03.2010,,,,24.03.2010,067'49,23:13:19 - 00:21:08," 23:13:19 - 00:21:08 067'49 Interview Markus LANZ mit den Studiogästen Gerd SCHÖNFELDER (Vierfacher Paralympic-Sieger, Ski Alpin), Martin MORITZ (Altenpflegeausbilder, Pflegeberater und Leiter der Hamburger Angehörigenschule), Bärbel ZERNICKE (pflegt ihre Mutter), Anna LOOS (Schauspielerin), Andy BORG (Volksmusiker), Stefan MROSS (Volksmusiker) und Claudia JUNG (Volksmusikerin)",Gerd SCHÖNFELDER,"Vierfacher Paralympic-Sieger, Ski Alpin",Martin MORITZ,"Altenpflegeausbilder, Pflegeberater und Leiter der Hamburger Angehörigenschule",Bärbel ZERNICKE,pflegt ihre Mutter,Anna LOOS,Schauspielerin,Andy BORG,Volksmusiker,Stefan MROSS,Volksmusiker,Claudia JUNG,Volksmusikerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 25.03.2010,,,,25.03.2010,060'11,23:15:54 - 00:16:05," 23:15:54 - 00:16:05 060'11 Interview Markus LANZ mit den Studiogästen Petra GERSTER (ZDF-Nachrichtensprecherin), Claus KLEBER (ZDF-Nachrichtensprecher), Kim ADLER (ZDF-Nachrichtensprecher), James BAIN (saß 35 Jahre unschuldig im Gefängnis) und Anthony SCOTT (Sozialarbeiter)",Petra GERSTER,ZDF-Nachrichtensprecherin,Claus KLEBER,ZDF-Nachrichtensprecher,Kim ADLER,ZDF-Nachrichtensprecher,James BAIN,saß 35 Jahre unschuldig im Gefängnis,Anthony SCOTT,Sozialarbeiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 30.03.2010,,,,30.03.2010,076'23,22:45:26 - 00:01:49," 22:45:26 - 00:01:49 076'23 Interview Markus LANZ mit den Studiogästen Bernhard HOECKER (Comedian), Tetje MIERENDORF (Schauspieler), Ralf NOWAK (bekannt als der ""Painmaker""), Helmut PÖSCHEL (Macher vom lebendigsten Käse), Andreas BIERMANN (Fußballer vom FC St. Pauli), Manfred LÜTZ (Psychiater und Bestsellerautor) und Eleonore WEISGERBER (Schauspielerin)",Bernhard HOECKER,Comedian,Tetje MIERENDORF,Schauspieler,Ralf NOWAK,"bekannt als der ""Painmaker""",Helmut PÖSCHEL,Macher vom lebendigsten Käse,Andreas BIERMANN,Fußballer vom FC St. Pauli,Manfred LÜTZ,Psychiater und Bestsellerautor,Eleonore WEISGERBER,Schauspielerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 31.03.2010,,,,31.03.2010,066'07,23:18:17 - 00:24:24," 23:18:17 - 00:24:24 066'07 Interview Markus LANZ mit den Studiogästen Thorsten HAVENER (Gedankenleser), Carola KIRCHNER (Unternehmerin), Markus SCHLICHTING (Geldanleger), Clemens GERCKENS (Geldanleger), Stephanie PALLASCH (Redakteurin ""Finanztest""), Max BONMANN (kenterte mit Segel-Schulschiff) und Sönke NIELSEN (Seenotrettungspilot)",Thorsten HAVENER,Gedankenleser,Carola KIRCHNER,Unternehmerin,Markus SCHLICHTING,Geldanleger,Clemens GERCKENS,Geldanleger,Stephanie PALLASCH,"Redakteurin ""Finanztest""",Max BONMANN,kenterte mit Segel-Schulschiff,Sönke NIELSEN,Seenotrettungspilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 06.04.2010,,,,06.04.2010,074'54,22:45:00 - 23:59:54," 22:45:00 - 23:59:54 074'54 Interview Markus LANZ mit den Studiogästen Andrea SAWATZKI (Schauspielerin), Maren KROYMANN (Schauspielerin), Katerina JACOB (Schauspielerin), Kester SCHLENZ (Autor und Journalist) und Katrin SCHAUDIG (Frauenärztin)",Andrea SAWATZKI,Schauspielerin,Maren KROYMANN,Schauspielerin,Katerina JACOB,Schauspielerin,Kester SCHLENZ,Autor und Journalist,Katrin SCHAUDIG,Frauenärztin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 07.04.2010,,,,07.04.2010,066'30,23:16:36 - 00:23:06," 23:16:36 - 00:23:06 066'30 Interview Markus LANZ mit den Studiogästen Howard CARPENDALE (Sänger), Jörg BLECH (Wissenschaftsjournalist), Kester SCHLENZ (Autor und Jurnalist), Katerina JACOB (Schauspielerin) und Detlev GOJ (Unternehmer)",Howard CARPENDALE,Sänger,Jörg BLECH,Wissenschaftsjournalist,Kester SCHLENZ,Autor und Jurnalist,Katerina JACOB,Schauspielerin,Detlev GOJ,Unternehmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 08.04.2010,,,,08.04.2010,065'14,23:21:17 - 00:26:31," 23:21:17 - 00:26:31 065'14 Interview Markus LANZ mit den Studiogästen Christine KAUFMANN (Schauspielerin), Alexandra POLZIN (Moderatorin), Angelika KALLWASS (Psychologin), Gisela POTHIN-WULF (Rückführungspraktikerin) und Katja BURKARD (Moderatorin)",Christine KAUFMANN,Schauspielerin,Alexandra POLZIN,Moderatorin,Angelika KALLWASS,Psychologin,Gisela POTHIN-WULF,Rückführungspraktikerin,Katja BURKARD,Moderatorin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 13.04.2010,,,,13.04.2010,075'38,23:10:28 - 00:26:06," 23:10:28 - 00:26:06 075'38 Interview Markus LANZ mit den Studiogästen Ruth MOSCHNER (Moderatorin), Maite KELLY (Sängerin), Udo POLLMER (Lebensmitteltechniker), Detlef D! SOOST (Tänzer) und Dr. Thomas KURSCHEID (Lebensmitteltechniker)",Ruth MOSCHNER,Moderatorin,Maite KELLY,Sängerin,Udo POLLMER,Lebensmitteltechniker,Detlef D,Tänzer,Thomas KURSCHEID,Lebensmitteltechniker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 14.04.2010,,,,14.04.2010,065'24,23:18:58 - 00:24:22," 23:18:58 - 00:24:22 065'24 Interview Markus LANZ mit den Studiogästen Rudi ASSAUER (ehem. Manager von Schalke 04), Angelika KALLWASS (Psychologin), Werner HANSCH (Sportreporter) und Jürgen DOMIAN (Moderator)",Rudi ASSAUER,ehem. Manager von Schalke 04,Angelika KALLWASS,Psychologin,Werner HANSCH,Sportreporter,Jürgen DOMIAN,Moderator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 15.04.2010,,,,15.04.2010,067'48,23:31:48 - 00:39:36," 23:31:48 - 00:39:36 067'48 Interview Markus LANZ mit den Studiogästen Uta RANKE-HEINEMANN (katholische Theologin), Michel FRIEDMAN (Journalist und Moderator), Peter SEEWALD (Journalist), Cosima KIESNER (Ordensschwester), Micha Manuel BUES (Student und Mitgründer der Gruppe ""Generation Benedikt"") und Katie PIPER (ehem. Model und Opfer eines Säure-Anschlags)",Uta RANKE-HEINEMANN,katholische Theologin,Michel FRIEDMAN,Journalist und Moderator,Peter SEEWALD,Journalist,Cosima KIESNER,Ordensschwester,Micha Manuel BUES,"Student und Mitgründer der Gruppe ""Generation Benedikt""",Katie PIPER,ehem. Model und Opfer eines Säure-Anschlags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 20.04.2010,,,,20.04.2010,076'08,22:44:06 - 00:00:14," 22:44:06 - 00:00:14 076'08 Interview Markus LANZ mit den Studiogästen Susanne FRÖHLICH (Autorin), Ralf SCHUMACHER (Profi-Rennfahrer), Tamme HANKEN (Tierchiroparktiker) und Jörg HANDWERG (Sprecher der Pilotenvereinigung Cockpit)",Susanne FRÖHLICH,Autorin,Ralf SCHUMACHER,Profi-Rennfahrer,Tamme HANKEN,Tierchiroparktiker,Jörg HANDWERG,Sprecher der Pilotenvereinigung Cockpit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 21.04.2010,,,,21.04.2010,067'21,23:33:30 - 00:40:51," 23:33:30 - 00:40:51 067'21 Markus LANZ mit den Studiogästen David HASSELHOFF (Schauspieler), Andrea SCHWAB (kaufte Hund ",David HASSELHOFF,Schauspieler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 22.04.2010,,,,22.04.2010,066'25,23:32:12 - 00:38:37," 23:32:12 - 00:38:37 066'25 Interview Markus LANZ mit Studiogästen Peer AUGUSTINSKI (Schauspieler), Gisela AUGUSTINSKI (Ehefrau von Peer Augustinski), Wilfried HANDL (Autor), Elka CLEVE (ehem. Mitglied von Scientology), Margot CLEVE (Mutter von Elka Cleve) und Doris BRÖTZ (Physiotherapeutin)",Peer AUGUSTINSKI,Schauspieler,Gisela AUGUSTINSKI,Ehefrau von Peer Augustinski,Wilfried HANDL,Autor,Elka CLEVE,ehem. Mitglied von Scientology,Margot CLEVE,Mutter von Elka Cleve,Doris BRÖTZ,Physiotherapeutin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 27.04.2010,,,,27.04.2010,077'10,22:43:53 - 00:01:03," 22:43:53 - 00:01:03 077'10 Interview Markus LANZ mit den Studiogästen Peter LUSTIG (Moderator), Guido HAMMESFAHR (Moderator), Helmut KRAUSS (Schauspieler), Prof. Eberhart ZRENNER (Augenarzt Uniklinikum Tübingen), Miikka TERHO (Augenpatient), Corinna MAY (Sängerin), Jan SAUERMANN (litt unter seinem Stottern), Simone SAUERMANN (Mutter), Ingrid DEL FERRO (unterrichtet die del Ferro-Methode) und Dr. Martin SOMMER (Neurophysiologe)",Peter LUSTIG,Moderator,Guido HAMMESFAHR,Moderator,Helmut KRAUSS,Schauspieler,Eberhart ZRENNER,Augenarzt Uniklinikum Tübingen,Miikka TERHO,Augenpatient,Corinna MAY,Sängerin,Jan SAUERMANN,litt unter seinem Stottern,Simone SAUERMANN,Mutter,Ingrid DEL,unterrichtet die del Ferro-Methode,Martin SOMMER,Neurophysiologe,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 28.04.2010,,,,28.04.2010,065'50,23:50:27 - 00:56:17," 23:50:27 - 00:56:17 065'50 Interview Markus LANZ mit den Studiogästen Rüdiger NEHBERG (Abenteurer und Menschenrechtler), Annette NEHBERG-WEBER (Ehefrau von Rüdiger Nehberg), Anne MARKWARDT (Kampagnenleiterin ""Goldener Windbeutel""), Astrid FROHLOFF (Moderatorin), Martin BLACH (Werbeexperte) und Jürgen SCHMIEDER (Autor und Journalist)",Rüdiger NEHBERG,Abenteurer und Menschenrechtler,Annette NEHBERG-WEBER,Ehefrau von Rüdiger Nehberg,Anne MARKWARDT,"Kampagnenleiterin ""Goldener Windbeutel""",Astrid FROHLOFF,Moderatorin,Martin BLACH,Werbeexperte,Jürgen SCHMIEDER,Autor und Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
